ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-1085,15,-43,342,-181,154,0,1,0
-1142,-22,-71,459,-30,70,0,0,0
-1176,-15,-74,513,-123,212,0,1,0
-1121,-34,-131,613,-37,229,0,1,0
-1123,-17,-185,686,-122,294,0,1,0
-1034,-32,-248,690,-220,351,0,1,0
-978,-49,-293,662,-303,284,0,1,0
-959,-20,-296,718,-218,244,0,1,0
-931,-51,-401,809,-154,174,0,1,0
-877,-54,-523,805,-182,229,0,1,-1
-806,-34,-494,677,-51,185,0,1,0
-901,-3,-483,638,-213,259,0,1,0
-760,-30,-526,561,-74,164,0,1,0
-866,-71,-585,413,-110,100,0,1,0
-826,-59,-571,128,-44,63,0,1,-1
-895,-57,-549,-84,-41,37,0,1,-1
-914,-41,-553,-245,100,-12,0,1,-1
-903,-84,-597,-414,81,-22,0,1,-1
-872,-91,-558,-723,81,-143,0,1,0
-857,-64,-459,-778,114,-151,0,1,-1
-976,-73,-321,-963,20,-179,0,1,-1
-883,-67,-306,-984,-16,-199,0,1,0
-1048,-22,-105,-1011,71,-228,0,1,-1
-1069,-4,-49,-901,-93,-149,0,1,-1
-1020,32,49,-620,72,-137,0,1,-1
-1090,-2,71,-542,-32,-212,0,1,0
-1071,-12,2,-516,-11,-201,0,1,-1
-1113,32,139,-506,105,-115,0,1,0
-1186,67,297,-328,-155,14,0,1,0
-1165,112,396,-224,-51,-8,0,0,-1
-1149,120,341,-16,12,-95,0,1,0
-1253,39,292,42,35,-184,0,1,-1
-1198,16,251,277,-3,-151,0,1,0
-1181,-14,132,185,-187,-103,0,1,-1
-1147,-86,49,417,6,41,0,1,-1
-986,-42,-41,535,-3,89,0,1,-1
-974,-34,-50,805,-112,168,0,1,-1
-937,-63,-73,909,-221,104,0,1,-1
-978,-98,-130,1070,79,170,0,1,-1
-855,-159,-392,1196,148,226,0,1,-1
-808,-138,-617,1166,157,212,0,1,-1
-821,-106,-569,865,-75,233,0,1,-1
-832,-155,-605,784,167,229,0,1,-1
-896,-207,-658,642,-179,153,0,1,-1
-882,-216,-665,183,-72,120,0,1,-1
-899,-185,-602,-204,-83,88,0,1,-1
-941,-198,-603,-467,-30,117,0,1,-1
-955,-160,-514,-840,191,35,0,1,-1
-888,-176,-547,-954,175,-37,0,1,-1
-1047,-102,-202,-1204,189,-56,0,1,-1
-932,-73,-285,-1209,278,-212,0,1,-1
-981,-95,-235,-1178,459,-250,0,1,-1
-1131,-41,-11,-1367,253,-318,0,1,0
-927,-70,-119,-1029,529,-334,0,1,0
-1166,10,170,-1025,419,-311,0,1,0
-1080,73,166,-688,-58,-296,0,1,0
-1214,87,381,-556,-158,32,0,1,0
-1362,4,425,-75,-138,-67,0,1,0
-1332,-20,322,217,-104,23,0,0,0
-1249,-6,262,550,-65,84,0,1,0
-1150,0,157,688,-31,81,0,1,0
-1141,-35,68,766,-291,198,0,1,0
-1078,-61,-48,945,-111,157,0,1,0
-1087,-117,-248,1141,-295,240,0,1,0
-1010,-103,-246,1195,-227,331,0,1,0
-909,-125,-380,1377,46,283,0,1,-1
-770,-119,-430,1193,-196,352,0,1,-1
-815,-187,-533,1241,-91,242,0,1,-1
-859,-229,-619,993,-205,221,0,1,-1
-778,-239,-706,748,185,84,0,1,-1
-843,-331,-893,490,31,69,0,1,-1
-889,-357,-971,-154,240,28,0,1,0
-749,-225,-763,-774,-63,124,0,1,-1
-854,-178,-593,-1107,16,-98,0,1,0
-871,-157,-490,-1176,42,-123,0,1,-1
-1159,-66,-172,-1432,119,-238,0,1,-1
-900,-45,-321,-1160,360,-273,0,1,0
-1064,-5,-130,-1328,32,-214,0,1,0
-1045,-21,-92,-1344,-42,-294,0,1,0
-975,-9,-27,-1159,248,-363,0,1,0
-1138,7,207,-1164,-15,-429,0,1,0
-1029,29,293,-818,16,-429,0,1,0
-1158,19,582,-539,-177,-487,0,1,0
-1297,-161,459,-108,138,-179,1,0,0
-1374,-212,266,11,11,-35,1,1,0
-1317,-161,297,326,141,102,0,0,0
-1261,-171,271,850,368,191,1,1,0
-1144,-172,81,1253,528,284,0,1,0
-1060,-183,-227,1372,108,564,0,0,0
-881,-105,-452,1349,-60,645,0,1,0
-989,-78,-393,1405,-582,595,0,1,0
-788,-137,-510,1477,-79,550,0,1,0
-863,-172,-543,1434,-691,438,0,1,-1
-791,-202,-531,1317,-338,370,0,1,-1
-898,-262,-631,1146,-414,289,0,1,-1
-817,-231,-623,782,-221,197,0,1,-1
-804,-208,-668,229,-35,44,0,1,-1
-801,-256,-758,-231,32,39,0,1,-1
-886,-268,-689,-765,-143,-67,0,1,-1
-958,-275,-605,-1131,-2,-126,0,1,-1
-1019,-281,-491,-1364,202,-159,0,1,-1
-1218,-245,-280,-1570,294,-212,0,1,-1
-1058,-176,-202,-1619,495,-150,0,1,-1
-1162,-35,37,-1630,345,-237,0,1,-1
-881,93,63,-1439,464,-235,0,1,0
-1047,53,89,-1249,163,-324,0,1,0
-976,79,189,-1006,20,-354,0,1,0
-1206,43,388,-608,-298,-390,0,1,0
-1067,43,360,-275,-109,-109,0,1,0
-1248,-13,485,-24,-290,4,0,1,0
-1255,-71,383,348,29,10,0,0,0
-1221,-78,309,606,3,58,0,0,0
-1191,-53,274,851,-55,133,0,1,0
-1164,-69,158,1107,-33,186,0,1,0
-1137,-100,0,1304,53,267,0,1,-1
-1089,-120,-122,1502,-149,461,0,1,-1
-968,-142,-322,1568,-213,525,0,1,-1
-882,-137,-469,1485,-93,431,0,1,-1
-835,-114,-446,1208,-128,291,0,1,-1
-878,-81,-428,970,-137,384,0,1,-1
-848,-177,-389,853,-42,51,0,1,-1
-964,-244,-529,756,-73,100,0,1,-1
-913,-309,-741,364,278,16,0,1,-1
-729,-314,-967,-135,104,104,0,1,0
-763,-248,-794,-800,-105,0,0,1,-1
-777,-244,-698,-1122,-142,-147,0,0,-1
-1034,-216,-417,-1522,-126,-249,0,1,-1
-1013,-169,-327,-1600,183,-367,0,1,-1
-960,-169,-211,-1880,120,-384,0,1,-1
-783,-113,-155,-1995,273,-526,0,1,-1
-1106,-106,279,-2332,46,-866,0,1,-1
-1060,-110,122,-1304,331,-739,0,1,0
-1252,-135,237,-972,-339,-417,1,1,0
-1152,-130,472,-546,-88,-281,1,1,0
-1172,-215,474,199,-275,-147,1,0,0
-1271,-298,419,379,74,308,1,0,0
-1179,-228,305,508,217,222,1,0,0
-1197,-205,162,552,-16,298,1,0,0
-1211,-151,170,776,-48,236,1,1,-1
-1174,-143,175,1046,72,307,1,1,-1
-1069,-164,44,1237,-102,464,0,1,-1
-1012,-177,-18,1142,-244,467,0,1,-1
-955,-142,-239,1159,-140,374,0,1,-1
-930,-111,-397,1197,-238,285,0,1,-1
-898,-83,-529,977,-380,84,0,1,-1
-880,-77,-451,928,-527,104,0,1,-1
-890,-70,-466,800,-572,4,0,1,-1
-946,-88,-416,769,-248,-114,0,0,-1
-885,-147,-594,455,-155,-216,0,0,-1
-960,-185,-538,101,-63,-189,0,1,-2
-1019,-221,-489,-126,159,-112,0,0,-1
-1003,-283,-542,-448,486,-61,0,1,-1
-1034,-279,-472,-835,398,63,0,1,-1
-909,-192,-432,-1086,429,31,0,1,-1
-911,-96,-181,-1363,403,51,0,1,-1
-997,-52,-230,-1239,338,0,0,1,-1
-976,-63,-224,-1045,651,-107,0,1,0
-1078,-52,-179,-1035,563,-254,0,1,0
-964,-59,-125,-952,488,-361,0,0,0
-1090,-34,158,-529,142,-210,0,0,0
-1262,-14,348,-286,-390,-95,0,1,0
-1227,21,376,-102,-149,5,0,1,0
-1306,-5,431,81,-88,127,0,1,0
-1228,20,328,256,-151,193,0,1,0
-1198,9,261,467,-172,228,0,1,0
-1125,16,233,529,-270,229,0,1,0
-1095,-20,157,676,-210,173,0,1,0
-1035,-52,8,884,-291,193,0,1,-1
-1019,-74,-210,849,-309,129,0,1,-1
-939,-7,-341,851,-427,-179,0,1,-1
-963,-142,-501,1273,241,-158,0,1,-1
-953,-265,-648,1250,-345,18,0,1,-1
-1013,-255,-547,1033,-109,161,0,1,-1
-940,-219,-431,949,-88,233,0,1,-1
-930,-179,-399,796,-123,289,0,1,-1
-776,-153,-547,555,86,252,0,1,-1
-776,-276,-820,235,-37,149,0,1,-1
-845,-220,-716,-543,-164,53,0,1,-1
-882,-194,-561,-838,-51,9,0,1,-1
-937,-236,-551,-1077,-11,-36,0,1,-1
-1049,-239,-367,-1291,176,-153,0,1,-1
-1052,-203,-286,-1358,459,-238,0,1,-1
-969,-193,-288,-1312,460,-191,0,1,-1
-1121,-84,56,-1542,165,-250,0,1,-1
-1032,-54,-27,-1304,366,-283,0,1,0
-1171,-31,194,-1178,130,-315,0,1,0
-1147,-96,116,-988,-18,-292,0,1,0
-1187,-32,445,-606,-100,-195,0,1,0
-1131,10,482,-382,-290,75,0,1,0
-1128,-34,476,66,-144,107,0,1,0
-1157,-53,340,340,29,79,0,1,0
-1163,-29,382,627,-70,156,0,1,0
-1181,-38,355,917,-84,140,0,1,0
-1127,-89,172,1227,188,107,0,1,0
-1100,-55,-141,1320,-78,236,0,1,-1
-1101,-82,-203,1346,-212,301,0,1,-1
-1094,-201,-274,1384,-537,371,0,1,-1
-1042,-210,-297,1362,79,250,0,1,-1
-905,-259,-449,1393,-202,429,0,1,-1
-890,-284,-569,1174,172,303,0,1,-1
-898,-285,-680,871,-16,392,0,1,-1
-729,-247,-760,469,202,244,0,1,-1
-635,-208,-809,-114,61,198,0,1,-1
-708,-123,-688,-620,-115,15,0,0,-1
-876,-181,-624,-862,-196,-23,0,1,-1
-865,-130,-533,-1150,-39,-140,0,1,-1
-994,-90,-285,-1371,44,-239,0,1,-1
-1059,-40,-193,-1340,229,-205,0,1,-1
-1008,11,-141,-1356,290,-261,0,1,-1
-1034,10,-82,-1293,295,-335,0,1,-1
-1016,-40,-49,-1269,280,-449,0,1,-1
-1119,-50,153,-1204,193,-507,0,1,0
-1071,-52,160,-404,307,-348,0,1,0
-1259,-74,129,-195,194,-270,0,0,0
-1416,23,497,-338,4,-202,0,1,0
-1194,86,490,-227,88,95,0,0,0
-1163,-20,416,259,-153,175,0,1,0
-1172,-85,296,181,-448,114,0,1,0
-1135,-97,269,724,-448,98,0,1,-1
-1122,-138,174,1016,123,-60,0,1,-1
-1111,-210,-10,1229,368,109,0,1,-1
-1026,-182,-214,1211,446,126,0,1,-1
-970,-141,-338,1262,343,282,0,1,0
-1040,-195,-469,1320,137,194,0,1,0
-895,-227,-642,1415,-73,455,0,1,0
-731,-205,-605,1003,103,317,0,1,0
-746,-237,-568,714,-184,350,0,1,0
-818,-281,-499,693,-142,259,0,1,-1
-953,-415,-570,849,-266,384,0,1,-1
-693,-404,-829,695,298,510,0,1,-1
-415,-164,-827,-357,-177,349,0,1,0
-668,-121,-491,-934,-233,-37,0,1,-1
-862,-220,-536,-1150,-177,-224,0,1,-1
-899,-230,-427,-1331,123,-298,0,1,-1
-1042,-224,-298,-1600,116,-411,0,1,-1
-959,-220,-261,-1589,460,-448,0,1,-1
-1192,-124,-94,-1706,350,-484,0,1,0
-1155,-51,18,-1646,119,-557,0,0,0
-1293,-42,209,-1300,66,-466,0,1,0
-1321,-42,242,-1012,-116,-359,1,1,0
-1217,-42,279,-506,79,-259,1,1,0
-1219,-55,383,-142,-33,-219,1,1,0
-1176,-94,292,-15,-84,157,1,1,0
-1229,-90,297,338,-33,116,1,1,0
-1251,-106,193,621,99,165,1,0,0
-1157,-96,89,918,44,306,1,1,0
-1094,-61,7,1141,-254,407,0,1,0
-1101,-126,-161,1306,-204,458,0,1,0
-1076,-87,-183,1330,-322,531,0,1,-1
-1080,-138,-310,1516,-130,602,0,1,-1
-929,-170,-463,1485,-121,719,0,1,-1
-874,-201,-525,1277,-84,701,0,1,-1
-867,-153,-494,932,-55,538,0,1,-1
-787,-88,-525,697,-133,382,0,1,-1
-799,-97,-568,397,10,191,0,1,-1
-748,-69,-591,12,-96,45,0,0,-1
-814,-2,-482,-396,34,48,0,0,-1
-883,38,-455,-593,-86,-23,0,0,-1
-918,-39,-414,-676,63,-119,0,0,-1
-848,-81,-513,-885,161,-241,0,1,-1
-923,-20,-407,-1176,284,-361,0,1,-1
-895,0,-340,-1234,287,-439,0,1,-1
-1006,81,-275,-1350,373,-595,0,1,-1
-966,103,-295,-1302,483,-649,0,1,0
-1047,41,-219,-1400,137,-697,0,1,0
-1088,-42,-64,-1295,203,-725,0,1,0
-1204,14,197,-1136,-196,-485,0,1,0
-1191,-23,256,-691,-32,-381,1,0,0
-1216,-67,233,-247,-2,-315,1,1,0
-1212,-119,157,-112,114,25,1,0,0
-1103,-132,115,86,-25,110,1,0,0
-1067,-95,168,212,-29,101,1,1,0
-1118,-103,181,575,-85,116,1,1,0
-1244,-98,224,800,-23,153,1,0,0
-1312,-115,181,1139,-163,347,1,1,0
-1242,-172,56,1293,-3,509,0,1,0
-1185,-100,-60,1338,-332,574,0,1,-1
-1125,-73,-128,1428,-112,568,0,1,-1
-1039,-37,-151,1369,-237,596,0,1,-1
-1015,-70,-246,1431,-60,613,0,1,-1
-908,-119,-471,1284,-58,611,0,1,-1
-889,-116,-613,930,-9,518,0,1,-1
-783,-70,-665,528,-63,492,0,1,-1
-667,-57,-549,76,25,292,0,0,-1
-727,31,-647,-152,-28,-9,0,0,-1
-680,17,-540,-578,-191,193,0,0,-1
-776,25,-509,-747,44,-102,0,0,-1
-789,57,-416,-818,170,-181,0,0,-1
-802,23,-510,-856,245,-329,0,1,-1
-911,-14,-444,-991,423,-412,0,1,-1
-878,-3,-511,-1158,506,-474,0,1,-1
