ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-725,-750,246,816,685,764,0,0,-3
-818,-311,485,-95,681,415,0,0,-3
-736,66,381,-464,802,11,0,0,-2
-911,155,194,-435,767,2,0,0,-2
-802,344,-18,-98,853,-84,0,0,-2
-1025,392,-18,185,112,-368,0,0,-2
-1070,374,70,248,676,-474,0,1,-1
-1227,371,129,128,-394,-639,0,1,-1
-1117,312,115,493,54,-402,0,1,-1
-1223,404,81,760,-417,-114,0,0,-2
-1137,425,54,351,145,13,0,0,-2
-1119,430,-47,123,41,109,0,0,-2
-1199,401,-64,-234,-72,160,0,0,-2
-1256,404,72,-516,-366,378,0,0,-2
-1068,509,224,-597,-494,619,0,0,-2
-961,545,250,-458,-571,515,0,0,-2
-943,427,183,-536,-343,177,0,0,-2
-1098,178,168,-487,-646,30,0,0,-2
-777,-24,323,-522,-529,37,0,0,-2
-749,-398,192,189,-680,-5,0,0,-3
-684,-725,219,202,630,56,0,0,-3
-744,-889,267,494,623,-311,0,0,-2
-1141,-598,191,255,-150,-457,0,0,-2
-1082,-436,406,141,247,-75,0,0,-2
-1059,-396,380,226,-78,131,0,0,-3
-977,-437,447,4,21,375,0,0,-2
-1197,-599,257,154,415,489,0,0,-2
-905,-528,198,-26,761,700,0,0,-2
-907,-254,155,-16,-121,407,0,0,-2
-818,-52,169,-121,429,210,0,0,-2
-941,132,65,-93,595,-86,0,0,-2
-825,386,48,-44,641,-354,0,0,-1
-1091,427,88,-9,555,-719,0,1,-1
-1010,554,28,228,1801,-801,0,1,-1
-1198,437,-71,498,114,-688,0,1,-1
-969,463,-201,607,582,-429,0,1,0
-1094,377,-187,545,-554,-179,0,1,-1
-1071,360,-161,479,-8,-3,0,1,-1
-1066,349,-320,130,-94,122,0,1,-1
-1256,358,-399,-202,-327,159,0,1,-1
-1299,413,-368,-606,-427,291,0,1,-1
-1319,477,-214,-817,-609,470,0,1,-1
-1158,510,-115,-1043,-578,474,0,1,-1
-1089,430,-79,-1127,-714,225,0,1,-1
-796,330,124,-1138,-1128,-221,1,0,-2
-823,-116,-15,-562,354,-424,1,0,-2
-436,-524,113,81,-653,-20,1,0,-2
-695,-1067,36,590,1018,-42,1,0,-2
-761,-1069,110,723,788,-284,1,1,-2
-1191,-677,38,604,-562,-418,1,0,-2
-1280,-553,285,212,94,-30,1,0,-2
-1089,-570,80,205,447,396,1,1,-2
-1125,-700,-17,-79,136,562,1,1,-1
-888,-643,0,-263,392,577,1,1,-1
-1057,-511,-16,-477,-307,294,1,1,-1
-987,-242,138,-784,288,349,0,1,-1
-1029,-46,59,-286,-25,323,0,1,-1
-980,88,56,-259,11,366,0,1,-1
-913,357,182,14,41,228,0,1,-1
-816,439,22,247,462,-21,0,1,-1
-938,524,-73,595,343,-537,0,1,-1
-963,505,-122,763,102,-736,0,1,-1
-1152,488,-64,721,101,-841,0,1,-1
-1214,472,-147,613,29,-217,0,1,-1
-991,472,-131,417,83,182,0,1,-1
-1007,465,-154,70,-65,173,0,1,-1
-1245,406,-278,-67,-431,210,0,1,-1
-1101,445,-101,-544,-457,448,0,1,-1
-1304,402,-172,-408,-1027,512,0,1,-1
-1003,436,112,-874,-154,464,0,1,-1
-1144,279,-57,-382,-1129,114,0,1,-2
-769,331,192,-766,-588,-68,0,0,-2
-826,36,108,-518,238,-532,1,0,-2
-912,-190,75,-372,-239,-700,1,0,-2
-709,-507,170,137,413,-33,1,0,-2
-712,-896,-29,667,288,14,1,0,-2
-800,-709,132,160,543,-337,1,1,-2
-1126,-558,238,161,147,-266,1,1,-2
-1248,-481,192,224,287,-115,1,1,-2
-1102,-446,133,163,512,287,1,1,-1
-1110,-519,43,23,-168,462,1,1,-1
-1065,-564,-50,74,581,420,1,1,-1
-1163,-601,-132,-434,522,161,0,1,-1
-885,-410,-200,-655,404,536,0,1,-1
-880,16,213,-508,-669,599,0,1,-1
-799,124,108,-259,-224,616,0,1,-1
-809,269,216,-190,-228,350,0,1,-1
-825,487,62,35,-86,62,0,1,-1
-975,522,45,9,90,-253,0,1,-1
-932,583,94,114,484,-746,0,1,-1
-1065,556,287,379,-140,-847,0,1,-1
-1137,500,7,674,79,-688,0,1,-1
-1133,459,-213,549,39,-254,0,1,-1
-1131,405,-155,83,-219,-11,0,1,-1
-1133,393,-63,-321,-350,187,0,1,-1
-1109,471,145,-502,-472,201,0,1,-1
-1194,323,140,-437,-553,397,0,1,-2
-1169,310,189,-499,-348,334,1,1,-2
-1080,291,193,-294,-683,295,0,0,-2
-890,303,122,-282,-167,-95,1,0,-2
-1054,142,133,100,-511,-490,1,0,-2
-657,-292,173,272,-137,-339,1,0,-2
-901,-846,44,527,-125,-193,1,0,-2
-663,-781,210,152,-311,-53,1,0,-2
-1063,-632,137,357,427,-326,1,0,-2
-954,-425,363,-247,235,-30,1,0,-2
-940,-385,263,3,375,140,1,0,-2
-1032,-510,275,-79,-38,422,1,0,-2
-1015,-465,215,-109,678,533,1,1,-2
-959,-488,16,-123,329,543,0,1,-2
-957,-337,136,-376,117,710,0,1,-1
-995,-270,-36,-130,228,504,0,1,-1
-934,6,153,-400,-45,460,0,1,-1
-749,421,156,-196,105,255,0,1,-1
-803,462,205,145,-416,-29,0,1,-1
-805,569,75,538,129,-502,0,1,-1
-988,552,179,361,-630,-599,0,1,-2
-1048,648,201,406,2,-800,0,1,-2
-1109,488,225,356,-44,-621,0,1,-2
-1134,466,246,376,127,-385,0,1,-2
-1150,399,126,326,0,-105,0,1,-2
-1202,375,18,56,-118,149,0,1,-2
-1117,448,166,-306,-196,194,0,1,-2
-1126,487,220,-357,-336,286,0,1,-2
-837,543,281,-406,-326,193,0,0,-2
-868,515,300,-288,-669,-32,0,0,-2
-663,467,279,-157,-263,-169,1,0,-2
-1086,-5,70,91,119,36,1,0,-2
-813,-402,85,94,1169,68,1,0,-2
-979,-780,181,686,-46,-32,1,0,-2
-1007,-860,25,760,752,-210,1,1,-2
-1232,-549,189,224,-480,-343,1,1,-2
-1107,-419,304,39,-157,-12,1,1,-2
-1054,-388,175,23,-20,226,1,1,-2
-1012,-393,245,-234,112,323,1,0,-2
-1116,-482,183,-98,227,490,0,1,-2
-1001,-380,105,-60,513,364,0,1,-2
-970,-321,19,-237,193,498,0,1,-1
-995,-154,0,-253,267,382,0,1,-1
-926,116,81,-337,96,387,0,1,-1
-843,226,6,-218,-212,234,0,1,-1
-897,376,127,-207,-303,19,0,1,-1
-806,516,207,20,-276,-273,0,1,-2
-909,584,228,36,-258,-417,0,1,-2
-877,661,285,227,126,-637,0,1,-2
-1073,567,303,60,-585,-487,0,1,-2
-971,566,324,238,86,-223,0,0,-2
-1030,510,226,450,-86,-65,0,0,-2
-1130,436,129,182,-290,0,0,0,-2
-1083,500,228,-248,-245,172,0,0,-2
-1175,515,316,-375,-456,356,0,0,-2
-1013,555,385,-453,-233,428,0,0,-2
-964,485,307,-181,-309,240,0,0,-2
-904,303,301,-195,-62,144,0,0,-2
-671,105,281,310,-253,-82,0,0,-2
-809,-246,202,416,-229,-48,0,0,-3
-614,-594,192,686,783,44,0,0,-2
-1028,-815,71,619,343,-324,0,0,-2
-1255,-567,189,251,162,-557,0,1,-2
-1179,-372,129,2,-115,-121,0,0,-2
-1064,-307,272,-165,11,105,0,0,-2
-1123,-362,398,-163,-168,324,0,0,-2
-1184,-400,284,-28,339,472,0,0,-2
-992,-418,172,-247,126,590,0,0,-2
-936,-158,260,-333,-88,452,0,0,-2
-872,-98,182,-182,-166,338,0,0,-2
-949,198,203,-278,-214,177,0,0,-2
-763,398,165,-17,-45,95,0,0,-2
-847,488,297,-172,-192,-97,0,0,-2
-797,647,380,143,-353,-95,0,0,-2
-813,582,230,547,156,-347,0,0,-2
-932,623,272,359,315,-464,0,0,-2
-1137,569,255,222,-119,-435,0,0,-2
-1129,609,293,312,108,-35,0,0,-2
-995,630,289,439,86,93,0,0,-2
-879,576,191,230,260,88,0,0,-2
-1045,589,55,4,-227,16,0,0,-2
-929,622,113,-442,22,288,0,0,-2
-937,593,422,-630,-600,431,0,0,-2
-1201,612,345,-135,-336,481,0,0,-2
-975,444,193,-273,324,145,0,0,-2
-906,256,96,-417,320,-222,0,0,-2
-886,-82,172,-434,240,-285,0,0,-2
-713,-229,251,54,91,-254,0,1,-2
-752,-673,-15,725,778,-210,0,1,-2
-1033,-632,-11,380,25,-476,0,1,-2
-1298,-399,62,64,219,-328,0,1,-2
-1093,-244,77,-137,16,142,0,1,-2
-1061,-251,209,-168,-155,291,0,1,-2
-1226,-294,198,18,103,375,0,1,-2
-1092,-473,-43,117,590,595,0,1,-2
-989,-293,-50,-301,300,616,0,1,-1
-903,-196,101,-298,175,375,0,1,-1
-878,60,-15,-310,182,107,0,1,-1
-835,254,27,-351,-77,32,0,1,-1
-784,465,88,-223,69,-254,0,1,-1
-957,563,274,-112,-486,-567,0,1,-1
-977,638,190,252,595,-781,0,1,-1
-1106,620,183,347,-42,-683,0,1,-1
-1108,546,55,417,106,-506,0,1,-1
-1079,606,116,297,76,-329,0,0,-1
-1162,466,30,290,-207,-7,0,1,-1
-1281,431,-4,102,-231,126,0,0,-2
-1110,444,165,-352,-322,359,0,1,-2
-1133,455,182,-259,-695,422,0,0,-2
-984,492,240,-431,-248,495,0,0,-2
-1018,429,161,-135,-844,228,0,0,-2
-1023,293,138,-268,-46,100,0,0,-2
-701,298,274,-123,-690,-7,0,0,-2
-1008,-37,125,-247,-835,28,0,0,-2
-504,-94,341,182,557,-127,0,0,-2
-947,-574,167,128,-176,-144,0,0,-3
-754,-691,142,515,423,-189,0,0,-2
-1280,-572,231,255,-152,-691,0,0,-2
-1292,-357,211,81,308,-178,0,0,-2
-1010,-283,192,-33,382,333,0,1,-2
-1100,-328,334,-177,-189,452,0,0,-2
-1210,-391,237,-57,361,601,0,0,-2
-1080,-412,136,-183,453,604,0,1,-2
-1014,-266,198,-349,182,701,0,1,-2
-775,-12,249,-319,126,649,0,1,-2
-837,259,179,-133,44,243,0,1,-2
-782,391,109,-8,107,81,0,1,-2
-817,475,70,27,-72,-210,0,0,-2
-950,457,29,-15,-110,-686,0,1,-2
-1071,681,244,-133,-212,-986,0,0,-2
-855,712,280,231,1329,-709,0,1,-2
-874,718,142,488,261,-478,0,1,-1
-1070,614,82,515,49,-364,0,1,-1
-1189,512,-16,581,-148,-158,0,1,-1
-1189,463,-83,342,-340,148,0,1,-1
-1140,491,12,-116,-479,286,0,1,-2
-1061,482,98,-346,-392,411,0,1,-2
-1088,469,112,-452,-534,408,0,0,-2
-878,410,212,-734,-123,63,0,0,-2
-1112,262,225,-583,-763,-71,0,0,-2
-723,116,365,-442,-161,51,0,0,-2
-808,-350,205,146,587,-76,0,0,-2
-627,-691,-30,999,336,184,0,1,-2
-944,-828,-61,765,155,-245,0,1,-2
-1308,-504,132,217,-195,-469,0,1,-2
-1211,-372,149,-16,121,-167,0,1,-2
-1100,-275,237,14,-163,-115,1,0,-2
-1208,-439,248,-144,-255,472,0,1,-2
-1188,-458,205,-102,442,765,0,0,-2
-945,-384,172,-254,354,753,0,1,-2
-931,-132,92,-166,93,611,0,1,-2
-840,-49,105,-284,324,490,0,1,-2
-998,232,200,-351,6,331,0,1,-2
-739,365,179,-74,139,290,0,1,-2
-704,501,48,102,141,-89,0,0,-2
-862,563,134,-100,-111,-441,0,1,-1
-988,657,237,-191,39,-798,0,0,-2
-986,652,259,-104,-404,-780,0,1,-2
-1025,545,334,-28,-314,-644,0,0,-2
-960,582,314,250,336,-329,0,1,-2
-1007,575,122,518,-41,-116,0,1,-2
-1140,505,25,226,-31,35,0,0,-2
-1146,556,126,-254,-102,178,0,0,-2
-1120,654,390,-884,-185,399,0,0,-2
-1076,588,349,-591,34,382,0,1,-2
-905,374,104,-56,-312,196,0,1,-2
-946,195,48,119,149,84,0,1,-2
-754,74,100,131,-754,199,0,0,-2
-639,-168,165,707,408,-84,0,0,-2
-857,-716,-12,956,-280,-166,0,1,-2
-1039,-831,29,602,-85,-410,0,0,-2
-1435,-412,393,-129,-471,-608,0,0,-2
-1035,-343,215,-106,469,118,0,0,-2
-905,-211,510,-191,44,161,0,0,-2
-1154,-232,331,92,9,100,0,1,-2
-1263,-337,299,-196,327,392,0,1,-2
-1149,-381,115,-212,604,511,0,1,-2
-919,-220,115,-497,118,490,0,1,-2
-960,-84,83,-218,230,300,0,1,-2
-905,19,126,-261,200,303,0,1,-1
-994,111,102,-59,140,259,0,1,-1
-911,285,104,53,-66,246,0,1,-1
-802,349,110,260,149,51,0,1,-1
-919,498,68,351,-231,-250,0,1,-1
-901,649,81,338,-181,-407,0,1,-1
-713,882,316,7,534,-506,0,1,-1
-712,820,82,526,319,-798,0,1,-1
-1066,613,-13,277,-303,-794,0,1,-1
-1318,485,-17,95,-508,-330,0,1,-2
-1229,449,101,-221,-485,112,0,1,-2
-1032,465,181,-382,-310,293,0,0,-2
-1064,430,199,-394,-671,268,0,0,-2
-1068,396,385,-725,-372,310,0,0,-2
-934,389,398,-333,-469,42,0,0,-2
-999,186,268,-102,-385,142,0,0,-2
