ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-120,-272,-880,226,-2179,617,1,-1,2
-450,-222,-919,-37,-4830,1298,1,0,1
-821,-129,-535,-354,-4869,1593,1,0,0
-979,45,-230,-549,-4607,1212,0,1,0
-1031,104,243,-514,-4719,1538,0,0,-2
-788,314,610,-557,-4951,1773,0,0,-3
-540,279,852,-414,-4533,1592,0,-1,-4
-230,290,955,-95,-744,284,0,-2,-4
-213,327,917,35,642,-79,0,-2,-5
-441,274,928,-12,1876,-558,0,-2,-4
-735,283,811,-9,3787,-1290,0,0,-4
-1135,130,459,-210,5098,-1421,0,0,-3
-1137,14,14,-262,6787,-1864,0,1,-1
-749,-45,-498,-120,5965,-1535,1,0,0
-345,-163,-818,-110,4431,-834,1,0,2
-10,-141,-833,-102,2982,-214,1,-1,2
213,-186,-907,-35,664,422,1,-2,2
116,-185,-909,-21,-214,313,1,-2,2
94,-166,-843,112,-1269,366,1,-2,2
-118,-199,-868,264,-2935,778,1,-1,2
-720,-176,-683,34,-4916,1097,1,0,1
-993,-142,-498,9,-4436,1281,1,0,0
-1080,50,-120,-339,-4468,1451,0,1,-1
-868,172,400,-311,-4876,1639,0,0,-3
-751,301,679,-287,-4852,1537,0,0,-4
-443,284,816,-186,-3180,906,0,-2,-4
-327,289,906,-175,-1079,-23,0,-2,-5
-212,262,929,-46,296,-148,0,-2,-5
-426,298,936,-51,798,-240,0,-2,-5
-558,243,844,-86,3300,-906,0,-1,-4
-1003,201,575,-365,4323,-1040,0,0,-4
-1196,49,331,-327,5194,-1066,0,0,-2
-1055,39,-137,-250,6321,-1495,0,1,0
-750,-89,-563,-112,5468,-1049,1,0,1
-314,-116,-826,-140,4562,-725,1,-1,2
146,-126,-884,-80,2821,-154,1,-2,2
171,-153,-956,-79,786,280,1,-2,2
171,-117,-917,-122,130,163,1,-2,2
224,-122,-875,46,-46,150,1,-2,2
31,-148,-907,141,-1698,404,1,-2,2
-4,-160,-857,186,-3196,783,1,-1,2
-681,-92,-639,104,-6017,1335,1,0,1
-1027,-80,-446,-56,-5198,1320,0,0,0
-1079,118,-27,-308,-5023,1497,0,0,-2
-861,201,422,-423,-5106,1678,0,0,-3
-617,250,692,-412,-5222,1530,0,-1,-4
-398,278,941,-282,-1638,245,0,-2,-5
-358,285,955,-156,-463,21,0,-2,-5
-349,284,1042,-154,1190,-438,0,-2,-5
-608,208,804,11,1448,-315,0,-1,-4
-821,182,745,-240,4197,-975,0,0,-4
-1072,56,435,-111,4844,-1038,0,0,-3
-1200,29,81,-128,5717,-1455,0,0,-1
-888,-4,-362,83,6584,-1467,1,0,0
-325,-148,-727,119,5177,-846,1,0,2
-37,-197,-888,-96,3103,-219,1,-1,2
259,-195,-941,-124,1459,178,1,-2,2
251,-173,-912,-193,430,237,1,-2,2
132,-122,-818,-160,-496,203,1,-2,2
116,-133,-854,98,-801,172,1,-2,2
44,-192,-913,124,-2381,352,1,-1,2
-264,-128,-692,65,-4032,539,1,0,2
-940,-166,-593,86,-5619,1110,1,0,0
-1196,-84,-289,-114,-5075,1427,0,1,0
-1104,101,97,-301,-3742,1214,0,0,-2
-922,152,391,-287,-2373,921,0,0,-3
-767,219,543,-135,-2864,983,0,0,-3
-565,259,802,-306,-4761,1416,0,-1,-4
-193,261,975,-366,-2611,551,0,-2,-5
-207,298,941,156,264,-130,0,-3,-5
-226,302,937,142,1334,-380,0,-2,-5
-458,261,871,16,2042,-603,0,-2,-4
-762,251,732,-153,2963,-934,0,-1,-4
-1042,174,564,-42,4398,-1147,0,0,-3
-1167,99,183,-62,5446,-1340,0,0,-2
-1016,-8,-271,0,5611,-1202,0,1,0
-599,-77,-713,94,5173,-838,1,0,1
-183,-151,-839,-7,4111,-841,1,-1,2
76,-130,-878,-88,1899,-266,1,-2,2
139,-144,-946,-35,274,50,1,-2,2
86,-105,-851,25,-427,146,1,-2,2
37,-117,-822,226,-2143,326,1,-1,2
-379,-157,-737,232,-4869,1108,1,0,1
-968,-144,-598,109,-5152,1143,1,0,0
-1070,-63,-307,-44,-4127,1226,0,1,0
-1028,116,107,-305,-4382,1372,0,0,-2
-854,228,505,-65,-4418,1683,0,0,-3
-582,281,664,-170,-3976,1246,0,-1,-4
-368,318,874,-350,-1843,297,0,-2,-5
-363,264,895,-247,-582,96,0,-2,-5
-279,266,991,-119,1018,-285,0,-2,-5
-497,267,820,-58,1572,-431,0,-1,-4
-800,216,777,-249,3597,-1076,0,0,-4
-1067,143,464,-244,4784,-1286,0,0,-3
-1198,10,82,-268,5402,-1110,0,0,-1
-907,-87,-441,-114,6176,-1327,1,0,0
-483,-131,-734,-271,5246,-893,1,0,1
100,-102,-851,-257,3193,-358,1,-1,2
119,-101,-945,-193,550,208,1,-2,2
89,-92,-889,-118,-173,170,1,-2,2
36,-90,-857,76,-1229,298,1,-2,2
-153,-128,-883,273,-2793,684,1,-1,2
-559,-99,-697,196,-4922,1131,1,0,1
-1052,-86,-511,151,-4954,1125,0,0,0
-1072,78,-81,-169,-4302,1293,0,1,-1
-935,201,314,-159,-4433,1453,0,0,-3
-736,301,621,-259,-5518,1820,0,0,-4
-378,326,774,-474,-3835,1100,0,-2,-5
-284,324,914,-119,-402,190,0,-2,-5
-177,291,940,96,1474,-205,0,-2,-5
-509,294,888,-126,2041,-654,0,-1,-4
-848,245,784,-85,4090,-1389,0,0,-4
-1052,194,367,-90,4961,-1422,0,0,-3
-1149,51,37,-152,5695,-1339,0,1,-1
-812,-51,-474,73,5800,-1024,1,0,0
-438,-114,-802,75,4078,-465,1,0,1
-45,-133,-928,51,2923,-99,1,-1,2
205,-140,-965,-43,996,293,1,-2,2
119,-101,-890,-247,-371,338,1,-2,2
15,-110,-925,-72,-1908,443,1,-1,2
-298,-101,-866,-102,-3239,704,1,0,2
-609,-40,-705,-76,-4009,760,0,0,1
-973,5,-454,-187,-4278,821,0,0,0
-1058,123,-48,-123,-4364,1088,0,1,-1
-983,167,309,-188,-4620,1352,0,0,-2
-876,284,540,-155,-5145,1600,0,0,-4
-369,342,777,-101,-3044,1034,0,-1,-4
-294,363,932,-151,-1268,317,0,-2,-5
-188,364,948,-172,557,-126,0,-2,-4
-367,359,959,-132,1737,-575,0,-2,-4
-704,305,809,-158,2555,-676,0,-1,-4
-936,245,599,-296,4533,-1178,0,0,-3
-1144,117,274,-182,5184,-1031,0,0,-2
-969,61,-159,82,5532,-954,0,1,0
-747,-15,-584,237,5425,-885,0,0,1
-145,-57,-746,221,4598,-550,1,-1,2
-7,-129,-1021,137,1202,420,1,-2,2
147,-115,-957,109,779,244,1,-2,2
106,-134,-969,15,149,278,1,-2,2
