ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-307,153,353,968,-1075,1125,-2,0,-2
-125,196,333,789,-1383,707,-2,-1,-2
-102,199,180,994,-1307,245,-2,-1,-2
-82,226,92,931,-1166,-289,-2,-1,-2
-268,338,-39,781,-1163,-867,-2,-1,-2
-353,366,-183,661,-819,-1255,-2,-1,-2
-558,393,-200,287,-790,-1566,-2,-1,-2
-855,475,-364,98,-458,-1855,-2,0,-2
-944,444,-238,-450,-286,-1679,-2,0,-2
-1185,487,-211,-741,39,-1748,-1,0,-2
-1267,509,-85,-1169,275,-1422,0,0,-2
-1392,519,103,-1413,323,-1012,0,0,-2
-1730,511,197,-1505,723,-898,0,0,-2
-1615,430,365,-1687,587,-121,0,0,-2
-1560,277,461,-1824,375,357,0,0,-2
-1468,262,687,-1593,365,780,0,0,-2
-1466,259,800,-1183,59,1101,0,0,-2
-1412,244,727,-606,-191,1392,0,0,-2
-1226,217,604,-223,-320,1521,0,0,-2
-1005,230,660,153,-540,1565,0,0,-2
-807,232,606,395,-724,1622,-1,0,-2
-693,274,532,673,-803,1365,-1,0,-2
-517,236,425,879,-1037,1196,-2,0,-2
-379,222,332,1166,-1124,1076,-2,-1,-2
-232,162,149,1277,-1362,742,-2,-1,-2
-108,190,-16,1138,-1030,76,-3,-1,-2
-161,304,-48,632,-966,-521,-2,-1,-2
-284,403,-153,502,-848,-968,-2,-1,-2
-305,417,-231,314,-852,-1302,-2,-1,-2
-602,363,-515,334,-569,-1662,-2,0,-2
-809,422,-399,-386,-457,-1857,-2,0,-2
-1133,535,-401,-491,-63,-1869,-1,0,-2
-1292,563,-199,-966,-4,-1656,-1,0,-2
-1454,561,1,-1031,214,-1316,0,0,-2
-1462,475,56,-1082,282,-881,0,0,-2
-1548,391,138,-1463,288,-499,0,0,-2
-1540,266,225,-1516,366,-121,0,0,-2
-1473,216,346,-1776,191,268,0,0,-2
-1446,216,510,-1453,354,646,0,0,-2
-1467,244,603,-1146,399,892,0,0,-2
-1529,279,652,-1066,-110,1169,0,0,-2
-1347,199,663,-648,-107,1453,0,0,-2
-1153,191,588,-218,-639,1622,0,0,-2
-987,201,532,291,-646,1794,0,0,-2
-705,157,511,524,-651,1758,-1,0,-2
-526,189,456,721,-1127,1535,-1,0,-2
-278,195,318,1036,-1160,1215,-2,0,-2
-94,192,195,1061,-1516,710,-2,-1,-2
-24,199,7,994,-1252,206,-2,-1,-2
-51,280,-83,774,-1003,-480,-3,-1,-2
-220,391,-173,563,-819,-1005,-2,-1,-2
-432,397,-271,397,-793,-1341,-2,-1,-2
-576,440,-351,403,-482,-1581,-2,0,-2
-767,431,-351,-190,-530,-1843,-2,0,-2
-972,500,-192,-362,-126,-1868,-1,0,-2
-1281,521,-266,-449,60,-1915,-1,0,-2
-1262,521,-206,-974,145,-1457,0,0,-2
-1472,483,-154,-1127,480,-867,0,0,-2
-1533,406,6,-1829,443,-639,0,0,-2
-1683,396,327,-1908,359,-264,0,0,-2
-1527,240,306,-1598,265,160,0,0,-2
-1466,162,421,-1614,183,363,0,0,-2
-1506,135,565,-1449,-58,591,0,0,-2
-1434,199,775,-1276,-805,1033,0,0,-2
-1317,181,884,-672,-2228,2083,0,0,-2
-1039,85,845,-70,-2312,2113,0,0,-3
-626,95,925,667,-1497,1675,0,0,-3
-386,143,729,762,-1502,1187,-1,-1,-3
-169,136,666,974,-1187,693,-1,-1,-3
-163,186,502,681,-1553,318,-1,-2,-3
-4,142,323,871,-1310,-130,-2,-2,-3
26,143,121,891,-1059,-513,-2,-2,-3
56,190,-24,678,-966,-900,-2,-2,-3
-187,249,-54,487,-586,-1476,-2,-2,-3
-544,387,34,122,-413,-1822,-2,-2,-3
-865,532,-7,-77,-152,-1859,-2,-1,-3
-949,531,-40,-345,-186,-1768,-1,-1,-3
-895,423,-102,-659,97,-1479,-1,-1,-3
-1363,463,19,-1448,344,-1479,-1,0,-3
-1624,540,450,-1859,625,-1105,0,0,-3
-1595,475,553,-1731,834,-576,0,0,-3
-1579,381,672,-1941,735,-19,0,0,-3
-1369,239,830,-1883,706,423,1,0,-3
-1354,139,919,-1521,756,672,1,0,-2
-1322,89,984,-963,478,1027,1,0,-2
-1337,149,826,-459,228,1292,0,0,-2
-1374,247,853,-155,-83,1492,0,0,-2
-958,174,686,788,-373,1772,0,0,-2
-877,176,645,774,-531,1885,-1,0,-2
-533,169,575,900,-778,1570,-1,0,-2
-405,137,388,966,-1287,1325,-2,0,-2
-300,138,224,941,-1547,917,-2,-1,-2
-177,189,71,905,-1512,458,-2,-1,-2
-84,287,6,539,-1162,-163,-2,-2,-2
-125,232,-161,557,-1050,-717,-3,-2,-2
-288,306,-221,205,-896,-1372,-2,-1,-2
-518,332,-375,68,-719,-1780,-2,-1,-2
-713,358,-388,-399,-556,-2019,-2,-1,-2
-1192,513,-339,-644,-65,-2349,-1,0,-2
-1376,572,-152,-1124,72,-1899,-1,0,-2
-1564,672,90,-1314,511,-1563,0,0,-2
-1551,589,229,-1402,482,-955,0,0,-2
-1633,496,486,-1346,428,-210,0,0,-2
-1594,441,677,-1379,326,293,0,0,-2
-1438,355,508,-727,275,685,0,0,-2
-1386,281,458,-1017,134,956,0,0,-2
-1404,348,581,-869,170,1188,0,0,-2
-1325,392,626,-793,-176,1439,0,0,-2
-1223,360,683,-295,-224,1691,0,0,-2
-987,270,772,198,-542,1859,0,0,-2
-751,141,664,448,-662,1827,-1,0,-2
-495,122,528,684,-1125,1465,-1,0,-2
-310,66,407,798,-1257,1057,-2,-1,-2
-195,75,295,718,-1643,591,-2,-1,-2
-68,171,165,785,-1490,56,-2,-1,-2
-97,258,12,518,-1266,-452,-2,-2,-2
-126,250,-58,324,-1003,-970,-2,-2,-2
-326,325,-167,187,-556,-1562,-2,-1,-2
-688,408,-356,-207,-504,-1841,-2,-1,-2
-929,476,-358,-749,-147,-2032,-2,0,-2
-1251,569,-152,-1259,193,-1931,-1,0,-3
-1343,630,93,-1442,627,-1519,0,0,-3
-1640,675,403,-1596,759,-1107,0,0,-3
-1723,591,366,-1337,848,-620,0,0,-2
-1822,363,479,-2377,655,-324,0,0,-2
-1462,205,771,-2559,492,476,1,0,-2
-1407,87,832,-1446,-185,956,1,0,-2
-1374,76,805,-797,-425,1326,1,0,-2
-1330,61,713,-435,-611,1513,0,0,-2
-1233,73,683,-284,-973,1461,0,0,-2
-1085,102,719,64,-1257,1451,0,0,-3
-655,9,759,361,-1104,1355,0,0,-3
-425,-15,806,707,-1428,1052,-1,0,-3
-240,-50,586,1140,-1504,627,-1,-1,-3
-151,-42,395,1489,-1460,82,-1,-1,-3
-117,70,213,1437,-1593,-308,-2,-1,-3
-28,102,50,1202,-1174,-682,-2,-2,-3
-185,256,-59,763,-905,-1252,-2,-2,-3
-482,375,-41,452,-594,-1701,-2,-1,-3
-716,428,-101,-116,-403,-1783,-2,-1,-3
-928,431,16,-564,-483,-1864,-1,-1,-3
-854,358,191,-926,-88,-1851,-1,0,-3
-1077,322,122,-1193,147,-1844,0,0,-3
-1276,332,431,-2093,84,-1656,0,0,-3
-1723,243,166,-1496,324,-972,0,0,-3
-1832,187,478,-1766,121,-353,1,0,-3
-1688,74,524,-1668,284,515,1,0,-3
-1397,-47,724,-1646,185,1003,1,0,-3
-1303,-163,877,-1341,154,1245,1,0,-2
-1357,-216,963,-680,39,1398,1,0,-2
-1206,-259,1109,-466,-281,1451,1,0,-2
-1081,-221,978,266,-636,1215,0,0,-3
-835,-148,713,524,-520,1395,0,0,-3
-777,37,766,463,-669,1512,0,0,-3
-673,93,818,484,-813,1575,0,0,-3
-593,107,799,695,-1061,1222,-1,0,-3
-454,84,630,1017,-1250,993,-1,0,-3
-252,61,409,1092,-1414,751,-2,-1,-3
-78,165,119,1228,-1334,186,-2,-1,-3
-110,228,-79,1196,-996,-449,-2,-2,-3
-206,356,-209,807,-823,-875,-2,-2,-3
-289,355,-297,762,-438,-1434,-2,-1,-2
-568,418,-350,256,-282,-1840,-2,-1,-2
-856,500,-303,-38,-4,-2143,-2,0,-2
-1194,528,-283,-583,317,-2008,-1,0,-2
-1392,559,-178,-709,671,-1731,-1,0,-2
-1541,612,-125,-1127,1430,-1321,0,0,-2
-1575,544,-132,-1484,1162,-675,0,0,-2
-1541,461,175,-1545,1131,-513,0,0,-1
-1434,289,169,-1535,835,-43,0,0,-1
-1432,388,273,-1502,704,153,0,0,-1
-1506,321,185,-1251,319,365,0,0,-1
-1494,383,310,-999,233,808,0,0,-1
-1438,398,280,-875,-38,1236,0,0,-1
-1253,381,343,-602,-250,1390,0,0,-1
-1178,400,384,-392,-686,1687,0,0,-1
-990,398,397,-198,-841,1702,-1,0,-1
-799,397,332,228,-944,1627,-2,0,-2
-609,368,249,323,-1129,1352,-2,0,-2
-409,318,219,464,-1251,1163,-2,-1,-2
-145,261,148,448,-1474,762,-2,-1,-2
38,234,51,671,-942,336,-2,-1,-2
45,287,-48,668,-917,-310,-3,-1,-2
-133,411,-147,632,-725,-1015,-3,-1,-2
-236,433,-310,695,-459,-1424,-3,-1,-1
-445,471,-438,354,-520,-1740,-2,0,-1
-696,509,-411,72,-67,-1962,-2,0,-1
-926,544,-434,-130,-97,-2007,-1,0,-1
-1208,569,-328,-590,236,-1938,-1,0,-1
-1305,615,-279,-825,140,-1509,0,0,-2
-1386,449,-229,-1107,504,-1409,0,0,-1
-1589,510,-24,-1451,210,-958,0,0,-1
-1574,350,131,-1683,226,-450,0,0,-1
-1572,331,320,-1638,-46,56,0,0,-1
-1635,282,348,-1542,-295,435,1,0,-1
-1634,240,550,-1280,-676,945,0,0,-2
-1382,76,605,-634,-639,1421,0,0,-2
-1207,88,586,-272,-786,1629,0,0,-2
-909,81,654,74,-812,1672,0,0,-2
-749,149,640,198,-1217,1530,0,0,-2
-566,154,590,560,-1176,1212,-1,0,-3
-474,203,509,905,-1446,975,-1,0,-3
-310,178,414,1404,-1701,723,-2,-1,-3
-232,124,132,1876,-1715,413,-2,-1,-3
-123,184,-110,1235,-1158,-175,-2,-1,-2
-276,344,-159,198,-649,-881,-2,-1,-2
-298,390,26,-91,-508,-1190,-2,-1,-2
-510,412,-6,-39,-332,-1538,-2,-1,-2
-696,419,-95,-154,-161,-1866,-2,-1,-2
-991,506,-193,-457,-17,-2090,-1,0,-2
-1226,605,-191,-613,414,-1963,-1,0,-2
-1494,701,-22,-1467,429,-1498,0,0,-2
-1494,656,283,-1478,695,-919,0,0,-2
-1492,612,321,-1423,414,-323,0,0,-2
-1369,385,403,-1363,550,130,0,0,-2
-1282,299,446,-1455,242,406,0,0,-2
-1320,262,564,-1448,117,641,0,0,-2
-1365,249,646,-1166,-62,901,0,0,-2
-1361,217,753,-835,-228,1098,0,0,-2
-1294,211,886,-420,-571,1306,0,0,-2
-1173,177,840,93,-784,1410,0,0,-2
-1027,208,739,473,-879,1519,0,0,-3
-773,183,613,820,-956,1487,-1,0,-3
-515,190,526,904,-1270,1259,-1,0,-3
-292,124,482,1068,-1524,938,-2,-1,-3
-218,95,195,1227,-1451,466,-2,-1,-3
-144,71,-5,1253,-880,0,-2,-1,-2
-83,200,-213,681,-942,-527,-2,-1,-2
-164,259,-171,279,-586,-1052,-2,-1,-2
-338,403,-157,-7,-474,-1472,-2,-1,-2
-625,431,-146,-86,-228,-1759,-2,-1,-2
-857,556,-157,-279,49,-1977,-2,0,-2
-1081,593,-173,-530,158,-1890,-1,0,-2
-1261,664,-172,-663,815,-1687,-1,0,-2
-1540,676,43,-1282,599,-1239,0,0,-2
-1609,635,258,-1397,677,-650,0,0,-2
-1496,527,410,-1554,457,-199,0,0,-2
-1464,403,429,-1267,376,265,0,0,-2
-1617,458,522,-1057,434,674,0,0,-2
-1516,427,728,-994,-93,1052,0,0,-2
-1418,327,758,-584,-184,1283,0,0,-2
-1252,281,695,-291,-522,1449,0,0,-2
-1077,240,627,53,-811,1451,0,0,-2
-811,177,592,197,-889,1540,-1,0,-2
-604,125,589,445,-1073,1239,-1,0,-3
-435,115,469,652,-1199,919,-1,0,-3
-336,165,335,732,-1248,521,-2,-1,-3
-189,221,256,844,-1049,105,-2,-1,-3
-171,284,128,702,-970,-297,-2,-1,-3
-175,348,-45,661,-723,-666,-2,-1,-3
-252,340,-130,361,-799,-1016,-2,-1,-3
-412,373,-247,79,-406,-1459,-2,-1,-2
-559,386,-87,-582,-191,-1706,-2,-1,-3
-775,440,146,-790,83,-1882,-1,0,-3
-1137,391,57,-792,56,-2063,0,0,-3
-1393,458,146,-1053,221,-1859,0,0,-3
-1502,349,217,-944,538,-1414,0,0,-3
-1638,277,218,-1334,385,-1262,1,0,-3
-1774,179,433,-1363,417,-543,1,0,-2
-1653,58,429,-1485,123,138,1,0,-2
-1530,-101,518,-1288,238,866,1,0,-2
-1434,-194,551,-1215,-32,1208,1,0,-2
-1364,-156,602,-789,156,1412,1,0,-2
-1295,-129,650,-665,-200,1515,1,0,-2
-1246,-46,791,-292,-336,1656,0,0,-2
-1078,-20,817,132,-494,1704,0,0,-2
-931,31,799,665,-706,1780,0,0,-2
-735,52,603,1019,-883,1563,-1,0,-2
-563,111,407,1336,-1226,1418,-1,0,-2
-287,71,219,1349,-1394,1103,-2,0,-2
-183,124,35,1157,-1423,338,-2,-1,-2
-135,203,-17,924,-1066,-270,-2,-1,-2
-256,241,-128,581,-1050,-772,-2,-1,-2
-307,281,-188,462,-667,-1341,-2,-1,-2
-592,347,-339,63,-807,-1796,-2,0,-2
-786,322,-253,-401,-462,-1964,-1,0,-2
-1118,380,-131,-870,-334,-2132,-1,0,-2
-1026,397,116,-926,105,-1778,0,0,-2
-1627,483,-12,-1064,112,-1592,0,0,-3
-1715,357,-5,-1197,469,-778,0,0,-2
-1797,357,167,-1839,453,-63,0,0,-2
-1563,224,329,-1770,433,284,1,0,-2
-1516,121,509,-1724,354,779,1,0,-2
-1515,135,691,-1312,263,1020,1,0,-2
-1512,133,715,-854,90,1308,0,0,-2
-1441,81,727,-436,-119,1521,0,0,-2
-1191,34,702,4,26,1540,0,0,-2
-1049,101,681,-84,-748,1582,0,0,-2
-909,153,610,409,-737,1582,-1,0,-2
-677,177,473,695,-933,1321,-1,0,-2
-519,224,334,790,-1348,1104,-2,0,-2
-347,209,230,903,-1512,803,-2,0,-2
-206,206,133,910,-1472,326,-2,-1,-2
-181,261,-31,949,-1304,-200,-2,-1,-2
-220,307,-131,670,-1100,-685,-2,-1,-2
-302,340,-268,547,-849,-1090,-2,-1,-2
-430,300,-336,237,-562,-1559,-2,-1,-2
-641,305,-359,-19,-88,-2062,-2,0,-2
-902,372,-256,-836,-149,-2209,-1,0,-2
-1214,318,-159,-783,357,-2242,-1,0,-2
-1447,322,-59,-1174,80,-1897,0,0,-2
-1783,318,53,-1544,387,-1388,0,0,-2
-1836,284,300,-1643,506,-445,1,0,-2
-1686,201,446,-1680,356,5,1,0,-2
-1491,129,526,-1372,320,606,1,0,-2
-1359,4,482,-1075,390,879,1,0,-2
-1447,27,529,-691,364,1090,1,0,-1
-1469,75,507,-611,-101,1285,0,0,-1
-1489,206,580,-235,-194,1430,0,0,-1
-1360,226,460,49,-459,1598,0,0,-2
-1067,202,483,270,-497,1529,0,0,-2
-868,152,456,272,-751,1627,-1,0,-2
-726,47,482,575,-961,1381,-1,0,-2
-515,3,412,962,-1267,1183,-2,0,-2
-288,31,186,1215,-1440,809,-2,0,-2
-247,134,-44,1190,-1504,196,-2,-1,-2
-247,277,-224,1101,-1215,-350,-2,-1,-2
-368,361,-385,714,-943,-808,-2,-1,-2
-473,417,-470,336,-654,-1188,-2,-1,-2
-580,432,-395,-134,-431,-1460,-2,0,-2
-646,404,-240,-472,-105,-1713,-2,0,-2
-1109,473,-241,-684,56,-1981,-1,0,-2
-1277,477,-228,-942,150,-1782,0,0,-2
-1466,524,-182,-988,497,-1480,0,0,-2
-1518,439,-106,-1402,408,-1054,0,0,-2
-1531,362,32,-1544,352,-513,0,0,-2
