ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z
-922,-422,57,34,-6,56,1,0,0
-918,-417,38,21,-23,51,1,0,0
-919,-417,48,16,0,55,1,0,0
-919,-421,44,-4,-25,33,1,0,0
-928,-414,44,-17,-11,23,1,0,0
-930,-411,55,-30,-35,32,1,0,0
-925,-428,55,-17,-21,39,1,0,0
-921,-428,58,-22,-25,21,1,0,0
-923,-423,58,-11,-28,9,1,0,0
-918,-417,47,3,-14,0,1,0,0
-925,-426,42,-4,-18,-2,1,0,0
-925,-405,60,-31,-32,-8,1,0,0
-922,-404,68,-25,-12,1,1,0,0
-923,-409,61,-29,-12,3,1,0,0
-933,-416,50,-16,-31,21,1,0,0
-925,-417,50,-20,-24,28,1,0,0
-909,-421,51,-16,-2,44,1,0,0
-913,-429,43,-28,-44,35,1,0,0
-926,-425,45,-9,-23,19,1,0,0
-926,-413,66,30,-33,24,1,0,0
-911,-448,47,-7,-24,21,1,0,0
-917,-432,61,-37,-13,-14,1,0,0
-925,-404,73,-45,-32,-20,1,0,0
-938,-415,57,-19,-20,5,1,0,0
-927,-405,58,8,-3,21,1,0,0
-907,-408,52,-14,-22,25,1,0,0
-902,-414,47,-19,-28,14,1,0,0
-912,-416,27,21,-4,18,1,0,0
-917,-440,16,-13,-9,12,1,0,0
-923,-429,36,-42,-2,0,1,0,0
-929,-411,56,-59,-11,-1,1,0,0
-933,-404,69,-32,-4,13,1,0,0
-979,-405,122,-7,-12,22,1,0,0
-1038,-342,113,-6,-65,87,1,0,0
-956,-412,43,284,105,224,1,0,0
-874,-467,49,205,104,180,1,0,0
-872,-465,50,-44,-72,114,1,0,0
-889,-453,45,-49,-91,20,1,0,-1
-920,-431,53,-181,-147,-7,1,0,0
-929,-427,43,-84,-48,-19,1,0,-1
-917,-443,67,-119,-35,-30,1,0,0
-893,-398,-4,-126,66,-86,1,0,0
-985,-379,108,-352,1,-140,1,0,0
-995,-345,54,-507,-189,-14,1,0,0
